2024-11-13 00:38:04.741 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:04.881 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:05.020 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:05.159 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:05.298 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:05.437 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:05.577 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:05.717 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:05.855 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:05.997 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:06.138 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:06.279 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:06.420 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:06.560 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:06.698 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:06.837 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:06.976 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:07.114 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:07.253 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:07.393 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:07.532 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:07.673 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:07.814 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:07.954 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:08.093 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:08.231 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:08.371 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:08.511 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:08.652 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:08.790 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:08.929 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:09.069 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:09.207 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:09.347 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:09.488 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:09.631 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:09.770 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:09.909 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:10.047 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:10.185 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:10.322 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:10.460 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:10.600 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:10.739 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:10.877 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:11.015 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:11.156 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:11.294 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:11.433 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:11.570 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:11.708 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:11.845 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:11.983 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:12.121 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:12.260 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:12.406 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:12.614 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:12.752 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:12.925 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:13.119 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:13.257 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:13.396 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:13.578 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:13.715 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:13.852 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:13.989 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:14.125 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:14.262 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:14.399 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:14.536 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
2024-11-13 00:38:14.673 | INFO     | edge_worker:local_worker:92 - object detection works well! please go to info_store/handled_result to check.
